IDEvento;DSEvento
240;AUT PESQ/DEFESA PROTOC
241;AUT PESQ/DEFESA ACEITA PUBL
242;AUT PESQ/DEFESA NÃO ACEITA PUBL
243;AUT PESQ/RECURSO PROTOC
244;AUT PESQ/RECURSO NEGADO PUBL
245;AUT PESQ/RECURSO PROVIDO PUBL
246;AUT PESQ/ÁREA SERVIDÃO SOLICITAÇÃO PROTOC
247;AUT PESQ/ÁREA SERVIDÃO NÃO CONCEDIDA PUBL
248;AUT PESQ/ÁREA SERVIDÃO CONCEDIDA PUBL
249;AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL PROTOC
250;AUT PESQ/EXIGÊNCIA PUBL
251;AUT PESQ/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC
252;AUT PESQ/PRORROGAÇÃO PRAZO EXIGÊNCIA CONCEDIDA PUBL
253;AUT PESQ/PRORROGAÇÃO PRAZO EXIGÊNCIA NEGADA PUBL
254;AUT PESQ/ÁREA LIVRE A PARTIR DE:
255;AUT PESQ/CUMPRIMENTO EXIGÊNCIA PROTOC
256;AUT PESQ/DESPACHO DIVERSO PUBL
257;AUT PESQ/REL ART 43 ADCT PROTOC
258;AUT PESQ/REL ART 43 ADCT ACEITO PUBL
259;AUT PESQ/REL ART 43 ADCT NÃO ACEITO PUBL
260;AUT PESQ/TORNA S/EFEITO ALVARA DE PESQUISA ART 43 ADCT PUBL
261;AUT PESQ/PEDIDO RECONSIDERAÇÃO PROTOC
262;AUT PESQ/PEDIDO RECONSIDERAÇÃO PROVIDO PUBL
263;AUT PESQ/PEDIDO RECONSIDERAÇÃO NEGADO PUBL
264;AUT PESQ/TAH - PAGAMENTO EFETUADO
265;AUT PESQ/PRORROGAÇÃO PRAZO ALVARÁ-SOLICITAÇÃO PROTOC
266;AUT PESQ/OFÍCIO INTIMA P/DEFESA CADUC/NULID ALVARÁ PUBL
267;AUT PESQ/INDEFERIMENTO RENOVAÇÃO ALVARÁ PUBL
268;AUT PESQ/ALVARÁ DE RETIFICAÇÃO SOLICITAÇÃO PROTOC
269;AUT PESQ/ALVARÁ DE RETIFICAÇÃO INDEFERIDO PUBL
270;AUT PESQ/NÃO CONHECE REQUERIMENTO PUBL
271;AUT PESQ/ALVARÁ RENOVAÇÃO 1 ANO PUBL
272;AUT PESQ/ALVARÁ RENOVAÇÃO 2 ANOS PUBL
273;AUT PESQ/ALVARÁ DE PESQUISA DECLARADO NULO PUBL
274;AUT PESQ/DESPACHO DECLARANDO CADUCIDADE ALVARÁ PUBL
275;AUT PESQ/ALVARÁ RENOVAÇÃO PUBL
276;AUT PESQ/ALVARÁ DE RETIFICAÇÃO PUBL
277;AUT PESQ/ALVARÁ RENOVAÇÃO 3 ANOS PUBL
278;AUT PESQ/RENÚNCIA AUTORIZAÇÃO PESQUISA PROTOC
279;AUT PESQ/ARQUIVAMENTO PROCESSO PUBL
280;AUT PESQ/BAIXA TRANSCRIÇÃO ALVARÁ PESQUISA
281;AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL APROVADA PUBL
282;AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL EFETIVADA
283;AUT PESQ/GUIA UTILIZAÇÃO REQUERIMENTO PROTOC
284;AUT PESQ/GUIA UTILIZAÇÃO INDEFERIDA PUBL
285;AUT PESQ/GUIA UTILIZAÇÃO AUTORIZADA PUBL
286;AUT PESQ/TORNA S/EFEITO BAIXA TRANSCRIÇÃO ALVARÁ PUBL
287;AUT PESQ/SOLICITAÇÃO DESCONS RENUNCIA ALVARA PROTOC
288;AUT PESQ/INCUR ART 23 CM NA DATA PUBLICAÇÃO:
289;AUT PESQ/INCUR ART 23 CM SAIDA RELAT FORA PRAZO PROTOC
290;AUT PESQ/RELATORIO PESQ FINAL PROTOC
291;DIR REQ LAV/RELATÓRIO PESQUISA APROVADO C/REDUÇÃO ÁREA PUBL
292;AUT PESQ/INCUR ART 23 CM FINAL PRAZO ALV PUBL
293;AUT PESQ/RELATÓRIO PESQUISA PARCIAL PROTOC
294;AUT PESQ/RENÚNCIA AUTORIZAÇÃO PESQUISA HOMOLOGADA PUBL
295;AUT PESQ/ÁREA INDISPONIVEL PUBL
296;AUT PESQ/ALVARÁ DE PESQUISA CANCELADO PUBL
297;AUT PESQ/REL PESQ ARQ ART 30C CM PUBL
298;AUT PESQ/REL PESQ NÃO APV ART 30B CM PUBL
299;AUT PESQ/REL PESQ APROV ART 30A CM PUBL
300;AUT PESQ/TORNA S/EFEITO HOMOL RENUNC PUBL
301;DISPONIB/VISTORIA IN LOCO PARA DISPONIBILIDADE REALIZADA
302;DISPONIB/HABILIT EDITAL DISPONIB ART 26 CM PROTOC
303;DISPONIB/CONSID PRIORITÁRIO - EDITAL P/PESQUISA PUBL
304;DISPONIB/EDITAL DISPONIB SEM PRETENDENTE PUBL
305;DISPONIB/ÁREA DISPONIBILIDADE PARA LAVRA - EDITAL PUBL
306;DISPONIB/EDITAL DISPON LAV S/EFEITO PUBL
307;DISPONIB/HABILIT EDITAL DISPONIB P/LAVRA PROTOC
308;DISPONIB/INDEF HABILIT EDITAL DISPONIB P/LAVRA PUBL
309;DISPONIB/CONSID PRIORITÁRIO - EDITAL P/LAVRA PUBL
310;DISPONIB/ÁREA DISPONIBILIDADE PARA PESQUISA - EDITAL PUBL
311;DISPONIB/EDITAL DISPON PESQ S/EFEITO PUBL
312;DISPONIB/HABILIT EDITAL DISPONIBI P/PESQUISA PROTOC
313;DISPONIB/INDEF HABILIT EDITAL DISPONIB P/PESQUISA PUBL
314;DISPONIB/CONSID PRIOR EDIT DISP PESQ PUBL
315;DISPONIB/DOCUMENTO DIVERSO PROTOC
316;DISPONIB/DESPACHO DIVERSO PUBL
317;DIR REQ LAV/RELATÓRIO PESQUISA APROVADO ART 30 I CM PUBL
