IDEvento;DSEvento
833;REQ EXT/PEDIDO RECONSIDERAÇÃO NEGADO PUBL
834;REQ EXT/TORNA S/EFEITO DESPACHO INDEFERIMENTO PUBL
835;REQ EXT/RECURSO PROTOC
836;REQ EXT/RECURSO PROVIDO PUBL
837;REQ EXT/RECURSO NEGADO PUBL
838;REQ EXT/DESISTÊNCIA REQU REGISTRO EXTRAÇÃO PROTOC
839;REQ EXT/DESCONSIDERAÇÃO DA DESIST PROTOC
840;REQ EXT/DESISTÊNCIA REQU REGISTRO EXTRAÇÃO HOMOLOGADA PUBL
841;REQ EXT/TORNA S/EFEITO HOMOLOG DA DESISTENCIA PUBL
842;REQ EXT/ARQUIVAMENTO PROCESSO PUBL
843;REQ EXT/TORNA S/EFEITO ARQUIVAMENTO PROCESSO PUBL
844;REQ EXT/ASSENTIMENTO CDN SOLICITAÇÃO PROTOC
845;REQ EXT/PRORROGAÇÃO PRAZO EXIGÊNCIA CONCEDIDA PUBL
846;DISPONIB/HABILIT EDITAL DISPONIB APRESENTADO FORA PRAZO
901;RETIFICA DESPACHO PUBLICADO EM:
902;DESPACHO 9.01 RETIFICATORIO PUBLICADO EM:
903;DECISÃO JUDICIAL PROTOC
904;TORNA S/EFEITO NOTIFICAÇÃO DA MULTA PUBL
905;TORNA S/EFEITO NOTIFICAÇÃO DA VISTORIA PUBL
906;AUT PESQ/TAH - ARQUIVAMENTO IMPOSIÇÃO MULTA PUBL
911;RELACIONADO P/ INCINERACAO-PUBLICADO EM:
912;PROCESSO DESTRUÍDO CONFORME PDD
920;REG EXT/REGISTRO DE EXTRAÇÃO 01 ANO PUBL
921;REG EXT/REGISTRO DE EXTRAÇÃO 02 ANOS PUBL
922;REG EXT/REGISTRO DE EXTRAÇÃO 03 ANOS PUBL
923;REG EXT/REGISTRO DE EXTRAÇÃO 04 ANOS PUBL
924;REG EXT/REGISTRO DE EXTRAÇÃO 05 ANOS PUBL
925;REG EXT/RAL ANO BASE APRESENTADO
926;REG EXT/PRORROGAÇÃO PRAZO POR 04 ANOS PUBL
927;REG EXT/PRORROGAÇÃO PRAZO POR 05 ANOS PUBL
929;REG EXT/RENÚNCIA REGISTRO EXTRAÇÃO PROTOC
930;REG EXT/DESCONSIDERAÇÃO DA RENÚNCIA PROTOC
931;REG EXT/RENÚNCIA REGISTRO EXTRAÇÃO HOMOLOGADA PUBL
932;REG EXT/TORNA S/EFEITO HOMOLOG DA RENÚNCIA PUBL
933;REG EXT/ADITAMENTO NOVA SUBSTÂNCIA PROTOC
935;REG EXT/ADITAMENTO NOVA SUBSTÂNCIA AUTORIZADO PUBL
936;REG EXT/ADITAMENTO NOVA SUBSTÂNCIA NÃO AUTORIZADO PUBL
937;REG EXT/PRORROGAÇÃO PRAZO REGISTRO EXTRAÇÃO PROTOC
938;REG EXT/PRORROGAÇÃO PRAZO REGISTRO EXTRAÇÃO INDEFERIDA PUBL
939;REG EXT/PRORROGAÇÃO PRAZO POR 01 ANO PUBL
940;REG EXT/PRORROGAÇÃO PRAZO POR 02 ANOS PUBL
941;REG EXT/PRORROGAÇÃO PRAZO POR 03 ANOS PUBL
942;REG EXT/TORNA S/EFEITO PRORROGAÇÃO PRAZO REG EXTRAÇÃO PUBL
943;REG EXT/REGISTRO DE EXTRAÇÃO CASSADO PUBL
944;REG EXT/TORNA S/EFEITO CASSAÇÃO REGISTRO DE EXTRAÇÃO PUBL
945;REG EXT/PEDIDO RECONSIDERAÇÃO PROTOC
946;REG EXT/PEDIDO RECONSIDERAÇÃO PROVIDO PUBL
947;REG EXT/PEDIDO RECONSIDERAÇÃO NEGADO PUBL
948;REG EXT/RECURSO PROTOC
949;REG EXT/RECURSO PROVIDO PUBL
950;REG EXT/RECURSO NEGADO PUBL
951;REG EXT/ARQUIVAMENTO PROCESSO PUBL
952;REG EXT/TORNA S/EFEITO ARQUIVAMENTO PROCESSO PUBL
953;REG EXT/NOTIFICAÇÃO RECOLHIMENTO CFEM PUBL
954;REG EXT/EXIGÊNCIA PUBL - PRAZO 30 DIAS
955;REG EXT/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC
956;REG EXT/CUMPRIMENTO EXIGÊNCIA PROTOC
957;REG EXT/PRORROGAÇÃO PRAZO EXIGÊNCIA CONCEDIDA PUBL
958;REG EXT/PRORROGAÇÃO PRAZO EXIGÊNCIA NEGADA PUBL
960;PLG/ENGLOBAMENTO DE ÁREAS AUTORIZADO PUBL
961;PLG/ARQUIVAMENTO PROCESSO PUBL
964;AUT PESQ/ALVARÁ DE PESQUISA 04 ANOS PUBL
965;AUT PESQ/PRORROGAÇÃO PRAZO ALVARÁ-04 ANOS PUBL
1001;REQ PESQ/OPÇÃO REGIME PERM LAVRA GARIMPEIRA PROTOC
1002;REQ PESQ/OPÇÃO REGIME PERM LAVRA GARIMPEIRA AUTORIZADA PUBL
1003;REQ PESQ/OPÇÃO REGIME PERM LAVRA GARIMPEIRA INDEFERIDA PUBL
1004;REQ PESQ/NÃO CONHECE REQUERIMENTO PUBL
1005;REQ PESQ/DENÚNCIA INVASÃO DE ÁREA PROTOC
1006;REQ PESQ/VISTORIA LAVRA NÃO AUTORIZADA
1007;AUT PESQ/PRORROGAÇÃO PRAZO ALVARÁ-DESISTÊNCIA PROTOC
1008;AUT PESQ/ACORDO C/SUPERFICIÁRIO NÃO REALIZADO PROTOC
1009;AUT PESQ/TRANSF DIREITOS-CESSÃO DIREITOS CANCELADA PUBL
1010;AUT PESQ/RAL ART PROTOC
1011;AUT PESQ/TRANSF DIREITOS-CESSÃO ANUÊNCIA CASSADA PUBL
1012;AUT PESQ/COMUNICAÇÃO DE ACIDENTE AMBIENTAL PROTOC
1013;AUT PESQ/COMUNICAÇÃO DE ACIDENTE DE TRABALHO PROTOC
1014;AUT PESQ/COMUNICAÇÃO DE PRESENÇA DE CAVERNA PROTOC
1015;AUT PESQ/COMUNICAÇÃO DE PRESENÇA DE FÓSSIL PROTOC
1016;AUT PESQ/DIPEM CUMPRIMENTO EXIGÊNCIA PROTOC
1017;AUT PESQ/DIPEM RETIFICADORA CUMPRIMENTO EXIGÊNCIA PROTOC
1018;AUT PESQ/DESINTERDIÇÃO TRABALHO PESQUISA AUTORIZADA PUBL
1019;AUT PESQ/DIPEM EXIGÊNCIA PARA ENTREGA PUBL
1020;AUT PESQ/DIPEM RETIFICADORA EXIGÊNCIA PARA ENTREGA PUBL
1021;AUT PESQ/GUIA DE EMBARQUE DE AMOSTRAS PROTOC
1022;AUT PESQ/GUIA UTILIZAÇÃO DEVOLVIDA PROTOC
1023;AUT PESQ/ANÁLISE BACTERIOLÓGICA PROTOC
1024;AUT PESQ/BOLETIM LAMIN PROTOC
1025;AUT PESQ/SOLICITAÇÃO ESTUDO IN LOCO (LAMIN) PROTOC
1026;AUT PESQ/MULTA APLICADA-INÍCIO PESQ NÃO COMUNICADO PUBL
1027;AUT PESQ/OPÇÃO REGIME PERM LAVRA GARIMPEIRA INDEFERIDA PUBL
1028;AUT PESQ/RAL NÃO ACEITO PUBL
1029;AUT PESQ/RELATÓRIO SOBREST NÃO APROVADO §1º ART 30 CM PUBL
1030;AUT PESQ/DIPEM DECLARAÇÃO PROTOC
1031;AUT PESQ/DIPEM DECLARAÇÃO APROVADA
1032;AUT PESQ/DIPEM DECLARAÇÃO NÃO APROVADA
1033;AUT PESQ/ALVARÁ DE PESQUISA REVOGADO PUBL
1034;AUT PESQ/TRANSF DIREITOS-CANCELAMENTO SOLICITAÇÃO PROTOC
1035;AUT PESQ/TORNA S/EFEITO MULTA APLIC-INÍCIO PESQ Ñ COMUN PUBL
1036;AUT PESQ/TORNA S/EFEITO NOTIFICAÇÃO CFEM PUBL
1037;AUT PESQ/VISTORIA LAVRA NÃO AUTORIZADA
1038;REQ LAV/TRANSF DIREITOS-CESSÃO DIREITOS CANCELADA PUBL
1039;REQ LAV/ARQUIVAMENTO PROCESSO PUBL
1040;REQ LAV/TRANSF DIREITOS-CESSÃO ANUÊNCIA CASSADA PUBL
1041;REQ LAV/CUMPRIMENTO EXIGÊNCIA LICENÇA AMBIENTAL PROTOC
1042;REQ LAV/TRANSF DIREITOS-CESSÃO TOTAL REQ LAV PROTOC
1043;REQ LAV/TRANSF DIREITOS-CESSÃO TOTAL REQ LAV APROVADA PUBL
1044;REQ LAV/TRANSF DIREITOS-CESSÃO TOTAL REQ LAV EFETIVADA
1045;REQ LAV/TRANSF DIREITOS-CESSÃO TOTAL REQ LAV NEGADA PUBL
1046;AUT PESQ/TRANSF DIREITOS-DISTRATO NÃO ACEITO
1047;CONC LAV/TRANSF DIREITOS-DISTRATO NÃO ACEITO
1048;LICEN/TRANSF DIREITOS-DISTRATO NÃO ACEITO
1049;PLG/TRANSF DIREITOS-DISTRATO NÃO ACEITO
1050;REQ LAV/ÁREA DESMEMBRADA EM OUTRAS PUBL
1051;REQ LAV/REQU PROVENIENTE DESMEMBRAMENTO EM PROFUND PROTOC
1052;REQ LAV/TRANSF DIREITOS-DISTRATO NÃO ACEITO
1053;LICEN/CORREÇÃO DE FASE - ÁREA REQUERIMENTO PESQUISA
1054;REQ LAV/EXIGÊNCIA LICENÇA AMBIENTAL PUBL - PRAZO 180 DIAS
1055;REQ LAV/GUIA UTILIZAÇÃO DEVOLVIDA PROTOC
1056;REQ LAV/INDENIZAÇÃO AO PESQUISADOR PROTOC
1057;REQ LAV/NÃO CONHECE REQUERIMENTO PUBL
1058;AUT PESQ/TRANSF DIREITOS -CESSÃO PARCIAL DIR REQ LAV PROTOC
1059;REQ LAV/OFÍCIO INTIMA P/DEFESA NULIDADE ALVARÁ PESQ PUBL
1060;REQ LAV/LEI SNUC-INST PROC ADM INDEF REQ LAVRA PUBL
1061;REQ LAV/LEI DO SNUC-ARQUIV PROC ADM INDEF REQ LAVRA PUBL
1062;REQ LAV/LICENÇA AMBIENTAL- REGISTRO PROTOCOLO ÓRGÃO PROTOC
1063;REQ LAV/TRANSF DIREITOS-CANCELAMENTO SOLICITAÇÃO PROTOC
1064;REQ LAV/GUIA UTILIZAÇÃO RENOVAÇÃO PROTOC
1065;REQ LAV/TORNA S/EFEITO INST PROC ADM CADUC DIR REQ LAV PUBL
1066;LICEN/PRORROGAÇÃO INÍCIO LAVRA SOLICITAÇÃO PROTOC
1067;REQ LAV/TORNA S/EFEITO NOTIFICAÇÃO CFEM PUBL
1068;REQ LAV/VISTORIA LAVRA NÃO AUTORIZADA
1069;CONC LAV/COMUNICAÇÃO DE ACIDENTE AMBIENTAL PROTOC
1070;CONC LAV/COMUNICAÇÃO DE ACIDENTE DE TRABALHO PROTOC
1071;CONC LAV/COMUNICAÇÃO DE PRESENÇA DE CAVERNA PROTOC
1072;CONC LAV/COMUNICAÇÃO DE PRESENÇA DE FÓSSIL PROTOC
1073;CONC LAV/BALANÇO MINERAL PROTOC
1074;CONC LAV/BOLETIM LAMIN PROTOC
1075;CONC LAV/ARRENDAMENTO TOTAL AVERBAÇÃO NEGADA PUBL
1076;CONC LAV/RAL ART PROTOC
1077;CONC LAV/AUTO ADVERTÊNCIA PUBL
1078;CONC LAV/AUTO INFRAÇÃO PUBL
1079;CONC LAV/TRANSF DIREITOS-CESSÃO ANUÊNCIA CASSADA MME PUBL
1080;CONC LAV/COBRANCA JUDICIAL DE MULTA PUBL
1081;CONC LAV/COMUNICAÇÃO OCORRÊNCIA OUTRA SUBSTÂNCIA PROTOC
1082;CONC LAV/CONSÓRCIO MINERAÇÃO INCLUSÃO ÁREA PROTOC
1083;CONC LAV/DESMEMBRAMENTO EM PROFUND DE ÁREA APROVADO PUBL
1084;CONC LAV/DESMEMBRAMENTO EM PROFUND DE ÁREA NEGADO PUBL
1085;CONC LAV/DESMEMBRAMENTO EM PROFUNDIDADE DE ÁREA PROTOC
1086;CONC LAV/DESMEMBRAMENTO EM PROFUND ÁREA INICIATIVA ANM PUBL
1087;CONC LAV/ASSENTIMENTO CDN/ARRENDAMENTO SOLICITAÇÃO PROTOC
1088;CONC LAV/ASSENTIMENTO CDN/ARRENDAMENTO AUTORIZADO
1089;CONC LAV/ASSENTIMENTO CDN/ARRENDAMENTO NEGADO
1090;CONC LAV/VISTORIA IN LOCO REALIZADA
1091;CONC LAV/GUIA UTILIZAÇÃO DEVOLVIDA PROTOC
1092;CONC LAV/ENGLOBAMENTO DE ÁREAS NEGADO PUBL
1093;CONC LAV/ENGLOBAMENTO DE ÁREAS PROTOC
1094;CONC LAV/SOLICITAÇÃO ESTUDO IN LOCO (LAMIN) PROTOC
1095;CONC LAV/GUIA UTILIZAÇÃO AUTORIZADA PUBL
1096;CONC LAV/GUIA UTILIZAÇÃO INDEFERIDA PUBL
1097;CONC LAV/GUIA UTILIZAÇÃO REQUERIMENTO PROTOC
1098;CONC LAV/LIBERAÇÃO ONERAÇÃO DIREITOS AVERBADO
1099;CONC LAV/LIBERAÇÃO ONERAÇÃO DIREITOS PUBL
1100;CONC LAV/IMISSÃO DE POSSE PAGAMENTO MULTA
1101;CONC LAV/NÃO CONHECE REQUERIMENTO PUBL
1102;CONC LAV/DESMEMBR PROFUND-OFÍCIO DE INTIMAÇÃO PUBL
1103;CONC LAV/OFÍCIO INTIMA P/DEFESA CADUC/NULID CONCESSÃO PUBL
1104;CONC LAV/PRORROGAÇÃO PRAZO EXIGÊNCIA NEGADA PUBL
1105;CONC LAV/RELATÓRIO PESQUISA NOVA SUBSTÂNCIA PROTOC
1106;CONC LAV/RELATÓRIO PESQ NOVA SUBSTÂNCIA APROVADO PUBL
1107;CONC LAV/RELATÓRIO PESQ NOVA SUBSTÂNCIA NÃO APROVADO PUBL
1108;CONC LAV/ONERAÇÃO DIREITOS LAVRA PROTOC
1109;CONC LAV/GUIA UTILIZAÇÃO RENOVAÇÃO PROTOC
1110;CONC LAV/DESMEMBR PROFUND-TORNA S/EFEITO OF INTIMAÇÃO PUBL
1111;CONC LAV/VISTORIA LAVRA NÃO AUTORIZADA
1112;CONC LAV/DESMEMBR PROFUND-CUMPRIM INTIMAÇÃO APROVADO PUBL
1113;CONC LAV/DESMEMBR PROFUND-CUMPRIM INTIMAÇÃO FORA DO PRAZO
1114;CONC LAV/DESMEMBR PROFUND-CUMPRIM INTIMAÇÃO NEGADO PUBL
1115;CONC LAV/DESMEMBR PROFUND-CUMPRIMENTO INTIMAÇÃO PROTOC
1116;DISPONIB/NÃO CONHECE REQUERIMENTO HABILITAÇÃO PUBL
1117;DISPONIB/DESISTÊNCIA HABIL EDITAL DISP LAVRA HOMOLOGADA PUBL
1118;LICEN/PRORROGAÇÃO INÍCIO LAVRA AUTORIZADA PUBL
1119;DISPONIB/DESISTÊNCIA HABILITAÇÃO EDITAL DISP PESQ PROTOC
1120;DISPONIB/DESISTÊNCIA HABILITAÇÃO EDITAL DISP LAVRA PROTOC
1121;LICEN/PRORROGAÇÃO INÍCIO LAVRA NÃO AUTORIZADA PUBL
1122;DISPONIB/TORNA S/EFEITO DECLARAÇÃO PRIOR EDITAL LAVRA PUBL
1123;DISPONIB/CONSID PRIORITÁRIO - EDITAL ÁREA PLG PUBL
1124;DISPONIB/INDEF HABILIT EDITAL DISPONIB ÁREA PLG PUBL
1125;DISPONIB/HABILIT EDITAL DISPONIB ÁREA PLG PROTOC
1126;DISPONIB/TORNA S/EFEITO EDITAL DISPONIB - ÁREA PLG PUBL
1127;REQ EXT/ÁREA BLOQUEADA ART 42 CM PUBL
1128;REQ EXT/ÁREA BLOQUEADA - INUNDAÇÃO PUBL
1129;REQ EXT/ASSENTIMENTO CDN AUTORIZADO
1130;REQ EXT/ASSENTIMENTO CDN NEGADO
1131;REQ EXT/DENÚNCIA CONTRA REQUERENTE PROTOC
1132;REQ EXT/NÃO CONHECE REQUERIMENTO PUBL
1133;REQ EXT/PROCESSO SITUADO EM ÁREA BLOQUEADA
1134;REQ EXT/PROCESSO SITUADO EM ÁREA INDÍGENA
1135;REQ EXT/DENÚNCIA INVASÃO DE ÁREA PROTOC
1136;REQ EXT/DESPACHO DIVERSO PUBL
1137;REQ EXT/VISTORIA LAVRA NÃO AUTORIZADA
1138;REG EXT/COMUNICAÇÃO DE ACIDENTE AMBIENTAL PROTOC
1139;REG EXT/COMUNICAÇÃO DE ACIDENTE DE TRABALHO PROTOC
1140;REG EXT/COMUNICAÇÃO DE PRESENÇA DE CAVERNA PROTOC
1141;REG EXT/COMUNICAÇÃO DE PRESENÇA DE FÓSSIL PROTOC
1142;REG EXT/REG EXT/RAL ART PROTOC
1143;REG EXT/TORNA S/EFEITO NOTIFICAÇÃO CFEM PUBL
1144;REQ LICEN/PROCESSO LOCALIZADO EM FAIXA DE FRONTEIRA
1145;REQ LICEN/ÁREA BLOQUEADA ART 42 CM PUBL
1146;REQ LICEN/ÁREA BLOQUEADA - INUNDAÇÃO PUBL
1147;REQ LICEN/ARQUIVAMENTO PROCESSO PUBL
1148;REQ LICEN/AUTO DE PARALISAÇÃO LAVRADO
1149;REQ LICEN/CUMPRIMENTO EXIGÊNCIA PROTOC
1150;REQ LICEN/DECISÃO JUDICIAL PROTOC
1151;REQ LICEN/DENÚNCIA CONTRA REQUERENTE PROTOC
1152;REQ LICEN/DENÚNCIA INVASÃO DE ÁREA PROTOC
1153;REQ LICEN/DESPACHO DIVERSO PUBL
1154;REQ LICEN/DOCUMENTO DIVERSO PROTOC
1155;REQ LICEN/EXIGÊNCIA PUBL - PRAZO 30 DIAS
1156;REQ LICEN/NÃO CONHECE REQUERIMENTO PUBL
1157;REQ LICEN/OPÇÃO REGIME AUTORIZAÇÃO PESQ INDEFERIDA PUBL
1158;REQ LICEN/OPÇÃO REGIME AUTORIZAÇÃO PESQ AUTORIZADA PUBL
1159;REQ LICEN/OPÇÃO REGIME AUTORIZAÇÃO PESQ PROTOC
1160;REQ LICEN/PEDIDO RECONSIDERAÇÃO NEGADO PUBL
1161;REQ LICEN/PEDIDO RECONSIDERAÇÃO PROTOC
1162;REQ LICEN/PEDIDO RECONSIDERAÇÃO PROVIDO PUBL
1163;REQ LICEN/PROCESSO SITUADO EM ÁREA BLOQUEADA
1164;REQ LICEN/PROCESSO SITUADO EM ÁREA INDÍGENA
1165;REQ LICEN/PRORROGAÇÃO PRAZO EXIGÊNCIA NEGADA PUBL
1166;REQ LICEN/PRORROGAÇÃO PRAZO EXIGÊNCIA CONCEDIDA PUBL
1167;REQ LICEN/PROTOCOLO ÓRGÃO AMBIENTAL PROTOC
1168;REQ LICEN/RECONSTITUIÇÃO DE PROCESSO AUTORIZADA
1169;REQ LICEN/RECURSO PROTOC
1170;REQ LICEN/RECURSO NEGADO PUBL
1171;REQ LICEN/RECURSO PROVIDO PUBL
1172;REQ LICEN/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC
1173;REQ LICEN/TORNA S/EFEITO ARQUIVAMENTO PROCESSO PUBL
1174;REQ LICEN/VISTORIA LAVRA NÃO AUTORIZADA
1175;LICEN/ADITAMENTO NOVA SUBSTÂNCIA NÃO AUTORIZADO PUBL
1176;LICEN/ADITAMENTO NOVA SUBSTÂNCIA PROTOC
1177;LICEN/TRANSF DIREITOS-CESSÃO DIREITOS CANCELADA PUBL
1178;LICEN/ARQUIVAMENTO PROC ADM CANCELAMENTO REG LICENÇA PUBL
1179;LICEN/AUTO ADVERTÊNCIA PUBL
1180;LICEN/AUTO INFRAÇÃO PUBL
1181;LICEN/TRANSF DIREITOS-CESSÃO PARCIAL EFETIVADA
1182;LICEN/TRANSF DIREITOS-CESSÃO PARCIAL PROTOC
1183;LICEN/ONERAÇÃO DIREITOS -PENHORA CANCELADA PUBL
1184;LICEN/ONERAÇÃO DIREITOS -PENHORA CANCELAMENTO AVERBADO
1185;LICEN/TRANSF DIREITOS-CESSÃO ANUÊNCIA CASSADA PUBL
1186;LICEN/COBRANCA JUDICIAL DE MULTA PUBL
1187;LICEN/COMUNICAÇÃO DE ACIDENTE AMBIENTAL PROTOC
1188;LICEN/COMUNICAÇÃO DE ACIDENTE DE TRABALHO PROTOC
1189;LICEN/COMUNICAÇÃO DE PRESENÇA DE CAVERNA PROTOC
1190;LICEN/COMUNICAÇÃO DE PRESENÇA DE FÓSSIL PROTOC
1191;LICEN/COMUNICAÇÃO OCORRÊNCIA OUTRA SUBSTÂNCIA PROTOC
1192;LICEN/DEFESA ACEITA PUBL
1193;LICEN/DEFESA NÃO ACEITA PUBL
1194;LICEN/DEFESA PROTOC
1195;LICEN/DENÚNCIA CONTRA TITULAR DA LAVRA PROTOC
1196;LICEN/DESINTERDIÇÃO LAVRA AUTORIZADA PUBL
1197;LICEN/ENGLOBAMENTO DE ÁREAS NEGADO PUBL
1198;LICEN/INÍCIO DE LAVRA COMUNICADO PROTOC
1199;LICEN/INTERDIÇÃO DA LAVRA APLICADA
1200;LICEN/ONERAÇÃO DIREITOS -PENHORA AUTORIZADO PUBL
1201;LICEN/PAGAMENTO DE MULTA EFETUADO
1202;LICEN/NÃO CONHECE REQUERIMENTO PUBL
1203;LICEN/SUSPENSÃO TRABALHOS LAVRA AUTORIZADA PUBL
1204;LICEN/SUSPENSÃO TRABALHOS LAVRA NEGADA PUBL
1205;LICEN/SUSPENSÃO TRABALHOS LAVRA SOLICITAÇÃO PROTOC
1206;LICEN/PLANO DE LAVRA PROTOC
1207;LICEN/REDUÇÃO DE ÁREA APROVADA PUBL
1208;LICEN/REDUÇÃO DE ÁREA NEGADA PUBL
1209;LICEN/REDUÇÃO DE ÁREA PROTOC
1210;LICEN/RENÚNCIA LICENCIAMENTO PROTOC
1211;LICEN/RETIFICAÇÃO REGISTRO DE LICENÇA NEGADA PUBL
1212;LICEN/RETIFICAÇÃO REGISTRO DE LICENÇA APROVADA PUBL
1213;LICEN/RETIFICAÇÃO REGISTRO DE LICENÇA SOLICITAÇÃO PROTOC
1214;LICEN/TRANSF DIREITOS-CANCELAMENTO SOLICITAÇÃO PROTOC
1215;LICEN/VISTORIA LAVRA NÃO AUTORIZADA
1216;LICEN/VISTORIA IN LOCO LAVRA IRREGULAR
1217;REQ PLG/DECLARAÇÃO DE APTIDÃO EMITIDA
1218;REQ PLG/ÁREA BLOQUEADA ART 42 CM PUBL
1219;REQ PLG/DENÚNCIA CONTRA REQUERENTE PROTOC
1220;REQ PLG/NÃO CONHECE REQUERIMENTO PUBL
1221;REQ PLG/RECURSO AO MINISTRO PROTOC
1222;REQ PLG/RECURSO NEGADO PUBL
1223;REQ PLG/RECURSO PROVIDO PUBL
1224;REQ PLG/VISTORIA LAVRA NÃO AUTORIZADA
1225;PLG/COMUNICAÇÃO DE ACIDENTE AMBIENTAL PROTOC
1226;PLG/COMUNICAÇÃO DE ACIDENTE DE TRABALHO PROTOC
1227;PLG/COMUNICAÇÃO DE PRESENÇA DE CAVERNA PROTOC
1228;PLG/COMUNICAÇÃO DE PRESENÇA DE FÓSSIL PROTOC
1229;PLG/ADVERTÊNCIA APLICADA PUBL
1230;PLG/TRANSF DIREITOS-CESSÃO DIREITOS CANCELADA PUBL
1231;PLG/ÁREA BLOQUEADA ART 42 CM PUBL
1232;PLG/RAL ART PROTOC
1233;PLG/AUTO ADVERTÊNCIA PUBL
1234;PLG/TRANSF DIREITOS-CESSÃO ANUÊNCIA CASSADA PUBL
1235;PLG/COBRANCA JUDICIAL DE MULTA PUBL
1236;PLG/COMUNICAÇÃO OCORRÊNCIA OUTRA SUBSTÂNCIA PROTOC
1237;PLG/DEFESA ACEITA PUBL
1238;PLG/DEFESA NÃO ACEITA PUBL
1239;PLG/DEFESA PROTOC
1240;PLG/DENÚNCIA CONTRA TITULAR DA LAVRA PROTOC
1241;PLG/DESINTERDIÇÃO LAVRA AUTORIZADA PUBL
1242;PLG/ENGLOBAMENTO DE ÁREAS NEGADO PUBL
1243;PLG/TÍTULO ENGLOBADO POR OUTRA PLG PUBL
1244;PLG/ENGLOBAMENTO DE ÁREAS PROTOC
1245;PLG/INÍCIO DE LAVRA COMUNICADO PROTOC
1246;PLG/INSTAURA PROC ADM CANCELAMENTO PLG PUBL
1247;PLG/INTERDIÇÃO DA LAVRA APLICADA
1248;PLG/NÃO CONHECE REQUERIMENTO PUBL
1249;PLG/NOTIFICAÇÃO RECOLHIMENTO CFEM PUBL
1250;PLG/OPÇÃO REGIME AUTORIZAÇÃO PESQ INDEFERIDA PUBL
1251;PLG/PEDIDO RECONSIDERAÇÃO PROTOC
1252;PLG/PEDIDO RECONSIDERAÇÃO NEGADO PUBL
1253;PLG/PEDIDO RECONSIDERAÇÃO PROVIDO PUBL
1254;PLG/SUSPENSÃO TRABALHOS LAVRA AUTORIZADA PUBL
1255;PLG/SUSPENSÃO TRABALHOS LAVRA NEGADA PUBL
1256;PLG/SUSPENSÃO TRABALHOS LAVRA SOLICITAÇÃO PROTOC
1257;PLG/ARQUIVAMENTO PROC ADM NULIDADE PLG PUBL
1258;PLG/PRORROGAÇÃO PRAZO EXIGÊNCIA NEGADA PUBL
1259;PLG/PRORROGAÇÃO PRAZO EXIGÊNCIA CONCEDIDA PUBL
1260;PLG/RAL ANOS ANTERIORES APRESENTADO
1261;PLG/RECURSO AO MINISTRO PROTOC
1262;PLG/RECURSO NEGADO PUBL
1263;PLG/RECURSO PROVIDO PUBL
1264;PLG/RETIFICAÇÃO PLG NEGADA PUBL
1265;PLG/RETIFICAÇÃO PLG AUTORIZADA PUBL
1266;PLG/RETIFICAÇÃO PLG SOLICITAÇÃO PROTOC
1267;PLG/TRANSF DIREITOS-CANCELAMENTO SOLICITAÇÃO PROTOC
1268;PLG/RETIFICAÇÃO COORDENADAS PLG SOLICITAÇÃO PROTOC
1269;PLG/DENÚNCIA INVASÃO DA ÁREA PROTOC
1270;PLG/TORNA S/EFEITO INST PROC ADM NULIDADE PLG PUBL
1271;PLG/VISTORIA IN LOCO LAVRA IRREGULAR
1272;LICEN/TÍTULO ENGLOBADO POR OUTRO REGISTRO LICENÇA PUBL
1273;AUT PESQ/REDUÇÃO DE ÁREA PROTOC
1274;REQ PESQ/REQU PROVENIENTE DE CESSÃO PARCIAL PROTOC
1275;REQ LAV/REQU PROVENIENTE DE CESSÃO PARCIAL PROTOC
1276;REQ PLG/REQU PROVENIENTE DE CESSÃO PARCIAL PROTOC
1277;REQ LICEN/REQU PROVENIENTE DE CESSÃO PARCIAL PROTOC
1278;CONC LAV/REQU PROVENIENTE DE ARRENDAMENTO PARCIAL PROTOC
1279;CONC LAV/REQU PROVENIENTE DE ARRENDAMENTO TOTAL PROTOC
1280;REQ LAV/RETIFICAÇÃO DA APROVAÇÃO RELATÓRIO FINAL PUBL
1281;REQ LICEN/INDEFERIMENTO SEM ONERAÇÃO PORT 266/2008 PUBL
1282;REQ LICEN/INDEFERIMENTO COM ONERAÇÃO PORT 266/2008 PUBL
1283;REQ LICEN/DECLARAÇÃO DE APTIDÃO EMITIDA
1284;REQ LICEN/TORNA S/EFEITO EXIGÊNCIA PUBL
1285;LICEN/OPÇÃO REGIME AUTORIZAÇÃO PESQ AUTORIZADA PUBL
1286;LICEN/INSTAURA PROC ADM NULIDADE REGISTRO LICENÇA PUBL
1287;LICEN/INSTAURA PROC ADM CASSAÇÃO REGISTRO LICENÇA PUBL
1288;LICEN/REGISTRO DE LICENÇA DECLARADO NULO PUBL
1289;LICEN/REGISTRO DE LICENÇA CASSADO PUBL
1290;LICEN/ARQUIVAMENTO PROC ADM NULIDADE REGISTRO LICENÇA PUBL
1291;LICEN/ARQUIVAMENTO PROC ADM CASSAÇÃO REGISTRO LICENÇA PUBL
1292;LICEN/TORNA S/EFEITO CASSAÇÃO REGISTRO DE LICENÇA PUBL
1293;LICEN/NOTIFICAÇÃO ADMINISTRATIVA ENCAMINHADA
1294;REQ PLG/VISTORIA IN LOCO REALIZADA
1295;REQ PLG/ASSENTIMENTO CDN AUTORIZADO
