DSProcesso;DSProcessoAssociado;IDTipoAssociacao;DTAssociacao;DTDesassociacao;OBAssociacao
932.705/2011;000.317/1961;4;2011-07-22;;*
932.705/2011;003.583/1957;4;2011-07-22;;*
932.705/2011;003.584/1957;4;2011-07-22;;*
932.705/2011;003.585/1957;4;2011-07-22;;*
932.705/2011;005.945/1961;4;2011-07-22;;*
932.705/2011;006.255/1960;4;2011-07-22;;*
932.705/2011;008.141/1958;4;2011-07-22;;*
932.710/2017;830.720/1981;4;2017-10-20;;*
932.710/2017;831.554/1983;4;2017-10-20;;*
932.710/2017;832.238/2003;4;2017-10-20;;*
932.728/2012;804.380/1969;4;2012-05-25;;*
932.728/2012;807.503/1969;4;2012-05-25;;*
932.728/2012;807.805/1974;4;2012-05-25;;*
932.837/2016;830.220/1995;4;2016-10-21;;*
932.837/2016;830.622/1979;4;2016-10-21;;*
932.837/2016;830.742/1982;4;2016-10-21;;*
932.882/2009;802.056/1975;4;2009-08-21;;*
932.882/2009;804.427/1973;4;2009-08-21;;*
932.882/2009;804.428/1973;4;2009-08-21;;*
932.882/2009;817.465/1970;4;2009-08-21;;*
932.882/2009;830.437/1979;4;2009-08-21;;*
932.909/2012;830.188/2001;5;2012-06-22;;*
932.909/2012;832.313/2004;5;2012-06-22;;*
932.909/2012;833.029/2005;5;2012-06-22;;*
932.931/2012;830.858/1983;4;2012-06-27;;*
932.931/2012;831.073/1984;4;2012-06-27;;*
932.931/2022;830.418/2008;4;2022-06-24;;*
932.931/2022;830.419/2008;4;2022-06-24;;*
932.931/2022;830.421/2008;4;2022-06-24;;*
932.931/2022;832.373/2008;4;2022-06-24;;*
932.979/2012;000.654/1938;4;2012-07-04;;*
932.979/2012;001.090/1957;4;2012-07-04;;*
932.979/2012;001.802/1958;4;2012-07-04;;*
932.979/2012;004.810/1958;4;2012-07-04;;*
932.979/2012;004.811/1958;4;2012-07-04;;*
932.979/2012;004.854/1958;4;2012-07-04;;*
932.979/2012;830.665/1983;4;2012-07-04;;*
933.364/2016;004.625/1955;4;2016-12-12;;*
933.364/2016;800.156/1976;4;2016-12-12;;*
933.364/2016;800.220/1974;4;2016-12-12;;*
933.364/2016;805.228/1973;4;2016-12-12;;*
933.364/2016;830.915/1979;4;2016-12-12;;*
933.382/2010;001.721/1967;4;2010-11-19;;*
933.382/2010;002.264/1967;4;2010-11-19;;*
933.382/2010;002.265/1967;4;2010-11-19;;*
933.382/2010;831.205/2004;4;2024-03-27;;*
933.473/2015;000.040/1960;4;2015-11-11;;*
933.473/2015;002.794/1950;4;2015-11-11;;*
933.473/2015;005.659/1960;4;2015-11-11;;*
933.473/2015;802.783/1969;4;2015-11-11;;*
933.473/2015;830.337/1984;4;2015-11-11;;*
933.473/2015;830.479/1984;4;2015-11-11;;*
933.473/2015;830.882/1985;4;2015-11-11;;*
933.473/2015;831.351/1984;4;2015-11-11;;*
933.473/2015;831.956/2002;4;2015-11-11;;*
933.475/2013;001.032/1955;4;2013-08-06;;*
933.475/2013;001.034/1955;4;2013-08-06;;*
933.475/2013;001.035/1955;4;2013-08-06;;*
933.475/2013;001.036/1955;4;2013-08-06;;*
933.475/2013;001.973/1962;4;2013-08-06;;*
933.475/2013;002.664/1956;4;2013-08-06;;*
933.475/2013;014.840/1967;4;2013-08-06;;*
933.475/2013;805.141/1976;4;2013-08-06;;*
933.559/2008;831.002/1988;4;2008-12-10;;*
933.559/2008;850.719/1978;4;2008-12-10;;*
933.571/2016;000.536/1959;4;2016-12-21;;*
933.571/2016;000.640/1945;4;2016-12-21;;*
933.571/2016;000.994/1940;4;2016-12-21;;*
933.571/2016;001.317/1964;4;2016-12-21;;*
933.571/2016;001.455/1940;4;2016-12-21;;*
933.571/2016;003.051/1950;4;2016-12-21;;*
933.571/2016;003.240/1936;4;2016-12-21;;*
933.571/2016;003.257/1936;4;2016-12-21;;*
933.571/2016;003.513/1958;4;2016-12-21;;*
933.571/2016;006.109/1962;4;2016-12-21;;*
933.571/2016;007.564/1957;4;2016-12-21;;*
933.571/2016;007.637/1959;4;2016-12-21;;*
933.571/2016;016.442/1935;4;2016-12-21;;*
933.571/2016;016.445/1935;4;2016-12-21;;*
933.571/2016;808.110/1973;4;2016-12-21;;*
933.571/2016;808.111/1973;4;2016-12-21;;*
933.571/2016;808.112/1973;4;2016-12-21;;*
933.571/2016;818.775/1971;4;2016-12-21;;*
933.571/2016;834.216/1994;4;2016-12-21;;*
933.584/2012;802.822/1974;4;2012-10-22;;*
933.584/2012;806.973/1968;4;2012-10-22;;*
933.806/2021;832.097/2005;4;2021-10-21;;*
933.806/2021;833.108/2004;4;2021-10-21;;*
933.937/2014;013.845/1967;4;2014-09-05;;*
933.937/2014;812.593/1973;4;2014-09-05;;*
933.937/2014;830.316/1979;4;2014-09-05;;*
933.975/2012;800.695/1977;4;2012-11-26;;*
933.975/2012;805.391/1973;4;2012-11-26;;*
933.975/2012;806.971/1973;4;2012-11-26;;*
933.975/2012;807.008/1973;4;2012-11-26;;*
933.975/2012;807.212/1975;4;2012-11-26;;*
933.975/2012;816.799/1971;4;2012-11-26;;*
933.975/2012;822.263/1972;4;2012-11-26;;*
933.975/2012;823.815/1972;4;2012-11-26;;*
933.975/2012;830.615/1985;4;2012-11-26;;*
933.975/2012;830.632/1979;4;2012-11-26;;*
933.975/2012;831.615/1987;4;2012-11-26;;*
933.975/2012;831.933/1997;4;2012-11-26;;*
933.975/2012;832.079/2001;4;2012-11-26;;*
933.975/2012;832.580/1995;4;2012-11-26;;*
933.975/2012;833.213/1995;4;2012-11-26;;*
933.975/2014;005.736/1960;4;2014-09-12;;*
933.975/2014;830.145/1980;4;2014-09-12;;*
933.975/2014;830.468/1980;4;2014-09-12;;*
933.975/2014;831.304/1984;4;2014-09-12;;*
933.980/2010;000.268/1963;4;2010-12-28;;*
933.980/2010;000.288/1963;4;2010-12-28;;*
933.980/2010;000.441/1953;4;2010-12-28;;*
933.980/2010;001.005/1960;4;2010-12-28;;*
933.980/2010;001.681/1959;4;2010-12-28;;*
946.110/2003;846.092/1998;4;2009-08-05;;*
946.110/2003;846.836/1995;4;2009-08-05;;*
946.326/2015;002.627/1934;4;2015-12-21;;*
946.326/2015;802.344/1970;4;2015-12-21;;*
946.365/2002;012.610/1967;4;2009-08-04;;*
946.365/2002;805.923/1974;4;2009-08-04;;*
946.365/2002;840.120/1983;4;2009-08-04;;*
946.365/2002;840.263/1982;4;2009-08-04;;*
948.043/2001;801.339/1970;4;2011-01-05;;*
948.043/2001;818.737/1969;4;2011-01-05;;*
948.075/2023;848.048/2014;4;2023-05-25;;*
948.075/2023;848.129/2009;4;2023-05-25;;*
948.210/2016;848.043/2002;4;2016-09-05;;*
948.210/2016;848.169/2001;4;2016-09-05;;*
948.262/2014;805.049/1977;4;2014-08-19;;*
948.262/2014;840.149/1980;4;2014-08-19;;*
948.262/2014;840.152/1980;4;2014-08-19;;*
948.397/2011;848.124/1999;4;2011-09-06;;*
948.397/2011;848.277/1999;4;2011-09-06;;*
948.397/2011;848.278/1999;4;2011-09-06;;*
948.397/2011;848.279/1999;4;2011-09-06;;*
948.397/2011;848.285/1999;4;2011-09-06;;*
950.000/1997;001.716/1964;4;2009-10-21;;*
950.000/1997;008.403/1967;4;2009-10-21;;*
950.000/1997;008.404/1967;4;2009-10-21;;*
950.000/1997;008.405/1967;4;2009-10-21;;*
950.000/1997;008.406/1967;4;2009-10-21;;*
950.000/1997;008.407/1967;4;2009-10-21;;*
950.000/1997;008.408/1967;4;2009-10-21;;*
950.000/1997;008.409/1967;4;2009-10-21;;*
950.000/1997;800.113/1972;4;2009-10-21;;*
950.000/1997;800.198/1972;4;2009-10-21;;*
950.000/1997;804.165/1971;4;2009-10-21;;*
950.000/1997;804.498/1971;4;2009-10-21;;*
950.000/1997;804.499/1971;4;2009-10-21;;*
950.000/1997;804.502/1971;4;2009-10-21;;*
950.000/1997;804.506/1971;4;2009-10-21;;*
950.000/1997;804.549/1971;4;2009-10-21;;*
950.000/1997;805.377/1970;4;2009-10-21;;*
950.000/1997;805.377/1971;4;2009-10-21;;*
950.000/1997;805.378/1970;4;2009-10-21;;*
950.000/1997;808.236/1968;4;2009-10-21;;*
950.000/1997;808.238/1968;4;2009-10-21;;*
950.000/1997;808.240/1968;4;2009-10-21;;*
950.000/1997;809.428/1970;4;2009-10-21;;*
950.000/1997;809.437/1970;4;2009-10-21;;*
950.000/1997;810.866/1970;4;2009-10-21;;*
950.000/1997;811.810/1968;4;2009-10-21;;*
950.000/1997;811.811/1968;4;2009-10-21;;*
950.000/1997;812.251/1972;4;2009-10-21;;*
950.000/1997;812.852/1971;4;2009-10-21;;*
950.000/1997;813.701/1971;4;2009-10-21;;*
950.000/1997;814.092/1971;4;2009-10-21;;*
950.000/1997;815.634/1969;4;2009-10-21;;*
950.000/1997;815.691/1970;4;2009-10-21;;*
950.000/1997;815.692/1970;4;2009-10-21;;*
950.000/1997;815.815/1969;4;2009-10-21;;*
950.000/1997;815.820/1969;4;2009-10-21;;*
950.000/1997;815.822/1969;4;2009-10-21;;*
950.000/1997;816.454/1973;4;2009-10-21;;*
950.000/1997;817.387/1970;4;2009-10-21;;*
950.000/1997;817.388/1970;4;2009-10-21;;*
950.000/1997;818.803/1971;4;2009-10-21;;*
950.000/1997;820.503/1969;4;2009-10-21;;*
950.000/1997;824.228/1972;4;2009-10-21;;*
950.003/1996;850.830/1982;4;2000-04-18;;*
950.003/1996;850.831/1982;4;2000-04-18;;*
950.038/2009;803.505/1971;4;2009-01-21;;*
950.038/2009;813.217/1974;4;2009-01-21;;*
950.038/2009;813.218/1974;4;2009-01-21;;*
950.074/1998;801.206/1975;4;2025-04-22;;*
950.074/1998;801.210/1975;4;2025-04-22;;*
950.074/1998;801.212/1975;4;2025-04-22;;*
950.074/1998;801.385/1978;4;2025-04-22;;*
950.074/1998;851.130/1980;4;2025-04-22;;*
950.074/1998;851.131/1980;4;2025-04-22;;*
950.074/1998;851.132/1980;4;2025-04-22;;*
950.074/1998;851.133/1980;4;2025-04-22;;*
950.120/1986;800.086/1978;4;2000-04-17;;*
950.120/1986;803.571/1970;4;2000-04-17;;*
950.120/1986;803.573/1970;4;2000-04-17;;*
950.120/1986;803.727/1974;4;2000-04-17;;*
950.120/1986;804.316/1977;4;2000-04-17;;*
950.120/1986;807.011/1973;4;2000-04-17;;*
950.120/1986;807.060/1973;4;2000-04-17;;*
950.120/1986;807.235/1975;4;2000-04-17;;*
950.120/1986;807.537/1975;4;2000-04-17;;*
950.120/1986;807.771/1975;4;2000-04-17;;*
950.120/1986;808.244/1975;4;2000-04-17;;*
950.120/1986;808.245/1975;4;2000-04-17;;*
950.120/1986;808.340/1973;4;2000-04-17;;*
950.120/1986;808.341/1973;4;2000-04-17;;*
950.120/1986;808.491/1972;4;2000-04-17;;*
950.120/1986;808.492/1972;4;2000-04-17;;*
950.120/1986;809.574/1970;4;2000-04-17;;*
950.120/1986;809.605/1974;4;2000-04-17;;*
950.120/1986;809.606/1974;4;2000-04-17;;*
950.120/1986;810.059/1970;4;2000-04-17;;*
950.120/1986;811.347/1973;4;2000-04-17;;*
950.120/1986;812.586/1970;4;2000-04-17;;*
950.120/1986;814.180/1973;4;2000-04-17;;*
950.120/1986;815.064/1974;4;2000-04-17;;*
950.120/1986;823.090/1972;4;2000-04-17;;*
950.120/1986;823.092/1972;4;2000-04-17;;*
950.120/1986;855.407/1978;4;2000-04-17;;*
950.121/1988;806.566/1971;4;2022-11-22;;*
950.121/1988;808.116/1973;4;2022-11-22;;*
950.121/1988;810.413/1974;4;2022-11-22;;*
950.198/2019;803.488/1971;4;2019-06-11;;*
950.198/2019;803.489/1971;4;2019-06-11;;*
950.198/2019;803.490/1971;4;2019-06-11;;*
950.198/2019;803.491/1971;4;2019-06-11;;*
950.198/2019;803.492/1971;4;2019-06-11;;*
950.198/2019;803.503/1971;4;2019-06-11;;*
950.198/2019;803.505/1971;4;2019-06-11;;*
950.198/2019;813.217/1974;4;2019-06-11;;*
950.198/2019;813.218/1974;4;2019-06-11;;*
950.228/2019;850.280/2005;4;2019-07-02;;*
950.228/2019;850.359/2007;4;2019-07-02;;*
950.228/2019;850.740/2008;4;2019-07-02;;*
950.240/1985;808.119/1973;4;2000-04-17;;*
950.240/1985;809.075/1973;4;2000-04-17;;*
950.240/1985;821.486/1971;4;2000-04-17;;*
950.240/1985;821.487/1971;4;2000-04-17;;*
950.240/1985;821.488/1971;4;2000-04-17;;*
950.240/1985;821.489/1971;4;2000-04-17;;*
950.240/1985;821.490/1971;4;2000-04-17;;*
950.240/1985;821.491/1971;4;2000-04-17;;*
950.317/2012;811.015/1973;4;2012-05-04;;*
950.317/2012;811.016/1973;4;2012-05-04;;*
950.317/2012;850.650/2006;4;2012-05-04;;*
950.341/1989;800.113/1972;4;2000-04-17;;*
950.341/1989;800.198/1972;4;2000-04-17;;*
950.341/1989;805.377/1971;4;2000-04-17;;*
950.341/1989;808.239/1968;4;2013-01-31;;*
950.341/1989;812.251/1972;4;2000-04-17;;*
950.341/1989;812.852/1971;4;2000-04-17;;*
950.341/1989;813.701/1971;4;2000-04-17;;*
950.341/1989;815.691/1970;4;2000-04-17;;*
950.341/1989;815.692/1970;4;2000-04-17;;*
950.341/1989;816.454/1973;4;2000-04-17;;*
950.341/1989;818.803/1971;4;2000-04-17;;*
950.341/1989;824.228/1972;4;2000-04-17;;*
950.464/1984;818.364/1970;4;2000-04-17;;*
950.474/2010;800.597/1978;4;2010-04-12;;*
950.474/2010;800.695/1978;4;2010-04-12;;*
950.474/2010;800.696/1978;4;2010-04-12;;*
950.474/2010;800.697/1978;4;2010-04-12;;*
950.474/2010;802.228/1976;4;2010-04-12;;*
950.474/2010;802.230/1976;4;2010-04-12;;*
950.474/2010;803.265/1977;4;2010-04-12;;*
950.474/2010;803.266/1977;4;2010-04-12;;*
950.474/2010;805.702/1977;4;2010-04-12;;*
950.474/2010;805.703/1977;4;2010-04-12;;*
950.474/2010;805.905/1977;4;2010-04-12;;*
950.474/2010;805.906/1977;4;2010-04-12;;*
950.474/2010;806.022/1977;4;2010-04-12;;*
950.474/2010;806.199/1976;4;2010-04-12;;*
950.474/2010;806.895/1977;4;2010-04-12;;*
950.474/2010;806.896/1977;4;2010-04-12;;*
950.474/2010;806.897/1977;4;2010-04-12;;*
950.474/2010;806.898/1977;4;2010-04-12;;*
950.474/2010;807.311/1977;4;2010-04-12;;*
950.474/2010;807.312/1977;4;2010-04-12;;*
950.474/2010;807.313/1977;4;2010-04-12;;*
950.474/2010;815.171/1974;4;2010-04-12;;*
950.474/2010;815.172/1974;4;2010-04-12;;*
950.474/2010;815.173/1974;4;2010-04-12;;*
950.474/2010;850.040/1980;4;2010-04-12;;*
950.474/2010;850.041/1980;4;2010-04-12;;*
950.474/2010;850.042/1980;4;2010-04-12;;*
950.474/2010;850.043/1980;4;2010-04-12;;*
950.474/2010;850.044/1980;4;2010-04-12;;*
950.734/2009;808.954/1975;4;2009-06-03;;*
950.734/2009;850.010/1991;4;2009-06-03;;*
950.734/2009;850.011/1991;4;2009-06-03;;*
951.060/2012;803.488/1971;4;2012-12-18;;*
951.060/2012;803.489/1971;4;2012-12-18;;*
951.060/2012;803.490/1971;4;2012-12-18;;*
951.060/2012;803.491/1971;4;2012-12-18;;*
951.060/2012;803.492/1971;4;2012-12-18;;*
951.060/2012;803.505/1971;4;2012-12-18;;*
951.060/2012;813.217/1974;4;2012-12-18;;*
951.060/2012;813.218/1974;4;2012-12-18;;*
951.073/2023;004.140/1957;4;2023-12-29;;*
951.073/2023;004.141/1957;4;2023-12-29;;*
951.073/2023;005.476/1958;4;2023-12-29;;*
951.073/2023;803.571/1970;4;2023-12-29;;*
951.073/2023;803.573/1970;4;2023-12-29;;*
951.073/2023;803.727/1974;4;2023-12-29;;*
951.073/2023;807.060/1973;4;2023-12-29;;*
951.073/2023;807.537/1975;4;2023-12-29;;*
951.073/2023;807.771/1975;4;2023-12-29;;*
951.073/2023;808.244/1975;4;2023-12-29;;*
951.073/2023;808.245/1975;4;2023-12-29;;*
951.073/2023;808.340/1973;4;2023-12-29;;*
951.073/2023;808.341/1973;4;2023-12-29;;*
951.073/2023;809.574/1970;4;2023-12-29;;*
951.073/2023;809.605/1974;4;2023-12-29;;*
951.073/2023;809.606/1974;4;2023-12-29;;*
951.073/2023;810.059/1970;4;2023-12-29;;*
951.073/2023;812.586/1970;4;2023-12-29;;*
951.073/2023;823.090/1972;4;2023-12-29;;*
951.073/2023;823.092/1972;4;2023-12-29;;*
951.073/2023;850.769/1981;4;2023-12-29;;*
951.073/2023;855.407/1978;4;2023-12-29;;*
960.028/2022;805.789/1969;4;2022-01-19;;*
960.028/2022;808.738/1968;4;2022-01-19;;*
960.028/2022;808.743/1968;4;2022-01-19;;*
960.028/2022;808.744/1968;4;2022-01-19;;*
960.028/2022;808.745/1968;4;2022-01-19;;*
960.028/2022;808.746/1968;4;2022-01-19;;*
960.028/2022;811.717/1968;4;2022-01-19;;*
960.028/2022;818.514/1968;4;2022-01-19;;*
960.028/2022;860.359/1999;4;2022-01-19;;*
960.028/2022;860.751/2005;4;2022-01-19;;*
960.028/2022;861.168/2005;4;2022-01-19;;*
960.028/2022;862.207/2005;4;2022-01-19;;*
960.028/2022;862.208/2005;4;2022-01-19;;*
960.079/1988;813.396/1973;4;2000-04-17;;*
960.079/1988;816.055/1973;4;2000-04-17;;*
960.079/1988;816.056/1973;4;2000-04-17;;*
960.089/2014;860.782/2002;4;2014-01-23;;*
960.089/2014;860.926/2001;4;2014-01-23;;*
960.146/2003;805.789/1969;4;2010-03-30;;*
960.146/2003;808.738/1968;4;2010-03-30;;*
960.146/2003;808.743/1968;4;2010-03-30;;*
960.146/2003;808.744/1968;4;2010-03-30;;*
960.146/2003;808.745/1968;4;2010-03-30;;*
960.146/2003;808.746/1968;4;2010-03-30;;*
960.146/2003;811.717/1968;4;2010-03-30;;*
960.146/2003;818.514/1968;4;2010-03-30;;*
960.146/2003;860.359/1999;4;2023-11-27;;*
960.146/2003;860.751/2005;4;2023-11-27;;*
960.146/2003;861.168/2005;4;2023-11-27;;*
960.146/2003;862.207/2005;4;2023-11-27;;*
960.146/2003;862.208/2005;4;2023-11-27;;*
964.005/2019;864.113/2003;4;2019-01-29;;*
964.005/2019;864.173/2004;4;2019-01-29;;*
964.005/2019;864.174/2004;4;2019-01-29;;*
964.005/2019;864.175/2004;4;2019-01-29;;*
964.005/2019;864.176/2004;4;2019-01-29;;*
964.109/2015;860.248/1989;4;2015-09-25;;*
964.920/2013;864.352/1995;4;2013-12-11;;*
964.920/2013;864.353/1995;4;2013-12-11;;*
964.920/2013;864.354/1995;4;2013-12-11;;*
966.000/1996;806.671/1977;4;2000-04-17;;*
966.000/1996;806.672/1977;4;2000-04-17;;*
966.000/1996;806.673/1977;4;2000-04-17;;*
966.000/1996;806.674/1977;4;2000-04-17;;*
966.000/1996;806.675/1977;4;2000-04-17;;*
966.000/1996;806.676/1977;4;2000-04-17;;*
966.000/1996;806.677/1977;4;2000-04-17;;*
966.000/1996;806.678/1977;4;2000-04-17;;*
966.001/1993;810.995/1974;4;2000-04-17;;*
966.001/1993;810.999/1974;4;2000-04-17;;*
966.001/1993;811.000/1974;4;2000-04-17;;*
966.001/1993;811.001/1974;4;2000-04-17;;*
966.001/1993;860.524/1979;4;2000-04-17;;*
966.029/2025;806.168/1976;4;2025-01-18;;*
966.029/2025;866.207/1999;4;2025-01-18;;*
966.029/2025;866.210/1999;4;2025-01-18;;*
966.029/2025;866.235/2001;4;2025-01-18;;*
966.029/2025;866.285/2006;4;2025-01-18;;*
966.029/2025;866.439/2002;4;2025-01-18;;*
966.029/2025;866.641/2012;4;2025-01-18;;*
966.250/2019;866.078/2004;4;2019-07-30;;*
966.250/2019;866.490/2004;4;2019-07-30;;*
966.250/2019;866.491/2004;4;2019-07-30;;*
966.344/1989;801.823/1978;4;2000-04-17;;*
966.344/1989;801.824/1978;4;2000-04-17;;*
966.344/1989;818.196/1972;4;2000-04-17;;*
966.347/1989;001.281/1959;4;2000-04-17;;*
966.347/1989;573.801/1940;4;2000-04-17;;*
966.347/1989;573.802/1940;4;2000-04-17;;*
966.347/1989;573.803/1940;4;2000-04-17;;*
966.347/1989;573.804/1940;4;2000-04-17;;*
966.347/1989;813.184/1974;4;2000-04-17;;*
966.391/2015;867.093/2005;4;2015-08-04;;*
966.391/2015;867.255/2005;4;2015-08-04;;*
966.391/2015;867.256/2005;4;2015-08-04;;*
966.391/2015;867.257/2005;4;2015-08-04;;*
966.391/2015;867.259/2005;4;2015-08-04;;*
966.426/1983;806.192/1975;4;2000-04-17;;*
966.426/1983;810.384/1975;4;2000-04-17;;*
966.691/2022;866.321/2007;4;2022-08-05;;*
966.691/2022;866.322/2007;4;2022-08-05;;*
966.691/2022;866.323/2007;4;2022-08-05;;*
966.791/2010;860.907/1981;4;2010-09-06;;*
966.791/2010;860.908/1981;4;2010-09-06;;*
966.791/2010;860.909/1981;4;2010-09-06;;*
966.791/2010;866.589/1986;4;2010-09-06;;*
966.946/2023;866.388/2008;4;2023-10-31;;*
966.946/2023;867.093/2005;4;2023-10-31;;*
966.946/2023;867.255/2005;4;2023-10-31;;*
966.946/2023;867.256/2005;4;2023-10-31;;*
966.946/2023;867.257/2005;4;2023-10-31;;*
966.946/2023;867.258/2005;4;2023-10-31;;*
966.946/2023;867.259/2005;4;2023-10-31;;*
968.001/2018;866.497/1993;4;2018-01-04;;*
968.001/2018;866.498/1993;4;2018-01-04;;*
968.001/2018;866.499/1993;4;2018-01-04;;*
968.004/1994;860.499/1979;4;2009-07-27;;*
968.004/1994;860.500/1979;4;2009-07-27;;*
968.019/2025;000.050/1966;4;2025-03-19;;*
968.019/2025;000.051/1966;4;2025-03-19;;*
968.019/2025;000.052/1966;4;2025-03-19;;*
968.019/2025;000.053/1966;4;2025-03-19;;*
968.019/2025;000.054/1966;4;2025-03-19;;*
968.019/2025;000.055/1966;4;2025-03-19;;*
968.019/2025;000.057/1966;4;2025-03-19;;*
968.019/2025;000.058/1966;4;2025-03-19;;*
968.019/2025;000.059/1966;4;2025-03-19;;*
968.019/2025;004.018/1948;4;2025-03-19;;*
968.019/2025;814.160/1974;4;2025-03-19;;*
968.019/2025;814.161/1974;4;2025-03-19;;*
968.019/2025;960.229/1979;4;2025-03-19;;*
968.019/2025;966.347/1989;4;2025-03-19;;*
968.024/2019;000.050/1966;4;2019-04-11;;*
968.024/2019;000.051/1966;4;2019-04-11;;*
968.024/2019;000.052/1966;4;2019-04-11;;*
968.024/2019;000.053/1966;4;2019-04-11;;*
968.024/2019;000.054/1966;4;2019-04-11;;*
968.025/2019;000.055/1966;4;2019-04-11;;*
968.025/2019;000.057/1966;4;2019-04-11;;*
968.025/2019;000.058/1966;4;2019-04-11;;*
968.025/2019;000.059/1966;4;2019-04-11;;*
968.026/2019;001.280/1959;4;2019-04-11;;*
968.026/2019;001.282/1959;4;2019-04-11;;*
968.107/2023;809.556/1972;4;2023-11-27;;*
968.107/2023;868.022/2009;4;2023-11-27;;*
968.107/2023;868.180/2010;4;2023-11-27;;*
968.107/2023;868.218/2012;4;2023-11-27;;*
968.107/2023;868.219/2012;4;2023-11-27;;*
968.107/2023;868.220/2012;4;2023-11-27;;*
968.133/2010;868.028/2003;4;2010-05-24;;*
968.133/2010;868.336/1996;4;2010-05-24;;*
968.156/2022;000.056/1966;4;2022-08-31;;*
968.156/2022;807.202/1971;4;2022-08-31;;*
968.156/2022;807.203/1971;4;2022-08-31;;*
968.156/2022;807.204/1971;4;2022-08-31;;*
968.225/2007;868.216/1995;4;2009-07-27;;*
968.225/2007;868.242/1995;4;2009-07-27;;*
968.252/2010;866.276/1988;4;2010-10-28;;*
968.252/2010;867.179/1992;4;2010-10-28;;*
968.422/2009;866.822/1989;4;2009-09-17;;*
968.422/2009;866.823/1989;4;2009-09-17;;*
970.042/1991;004.951/1935;4;2000-04-17;;*
970.042/1991;815.706/1972;4;2000-04-17;;*
970.042/1991;815.708/1972;4;2000-04-17;;*
970.042/1991;815.710/1972;4;2000-04-17;;*
970.042/1991;815.712/1972;4;2000-04-17;;*
970.042/1991;815.714/1972;4;2000-04-17;;*
970.042/1991;815.715/1972;4;2000-04-17;;*
970.043/1991;005.917/1963;4;2000-04-05;;*
970.043/1991;005.918/1963;4;2000-04-05;;*
970.043/1991;005.919/1963;4;2000-04-05;;*
970.043/1991;005.920/1963;4;2000-04-05;;*
970.043/1991;005.921/1963;4;2000-04-05;;*
970.060/2019;870.315/2013;4;2019-03-07;;*
970.060/2019;874.500/2011;4;2019-03-07;;*
970.078/1988;000.290/1958;4;2010-12-23;;*
970.078/1988;000.291/1958;4;2010-12-23;;*
970.078/1988;000.544/1953;4;2010-12-23;;*
970.078/1988;007.346/1958;4;2010-12-23;;*
970.078/1988;801.893/1971;4;2010-12-23;;*
970.078/1988;802.267/1968;4;2010-12-23;;*
970.078/1988;803.126/1973;4;2010-12-23;;*
970.078/1988;805.330/1973;4;2010-12-23;;*
970.078/1988;808.692/1968;4;2010-12-23;;*
970.309/1995;001.773/1944;4;2000-04-17;;*
970.309/1995;002.953/1939;4;2000-04-17;;*
970.309/1995;003.110/1940;4;2000-04-17;;*
970.309/1995;003.724/1941;4;2000-04-17;;*
970.309/1995;005.253/1941;4;2000-04-17;;*
970.309/1995;809.389/1971;4;2000-04-17;;*
970.348/1985;001.642/1957;4;2000-04-05;;*
970.348/1985;004.326/1954;4;2000-04-05;;*
970.348/1985;004.566/1958;4;2000-04-05;;*
970.348/1985;007.971/1957;4;2000-04-05;;*
970.368/2019;870.746/2005;4;2019-06-12;;*
970.368/2019;871.128/2003;4;2019-06-12;;*
970.368/2019;871.130/2003;4;2019-06-12;;*
970.368/2019;871.481/2002;4;2019-06-12;;*
970.368/2019;871.482/2002;4;2019-06-12;;*
970.368/2019;871.930/2005;4;2019-06-12;;*
970.368/2019;872.093/2003;4;2019-06-12;;*
970.491/2000;000.332/1936;4;2012-12-14;;*
970.491/2000;001.341/1935;4;2012-12-14;;*
970.491/2000;003.228/1957;4;2012-12-14;;*
970.491/2000;003.362/1936;4;2012-12-14;;*
970.491/2000;004.884/1967;4;2012-12-14;;*
970.491/2000;805.683/1969;4;2012-12-14;;*
970.491/2000;807.580/1972;4;2012-12-14;;*
970.491/2000;811.618/1968;4;2012-12-14;;*
970.491/2000;819.727/1971;4;2012-12-14;;*
970.493/1996;004.813/1962;4;2000-04-05;;*
970.493/1996;008.208/1961;4;2000-04-05;;*
970.542/1985;003.809/1958;4;2000-04-17;;*
970.542/1985;815.954/1973;4;2000-04-17;;*
970.542/1985;824.404/1971;4;2000-04-17;;*
970.542/1985;870.479/1978;4;2000-04-17;;*
970.575/2018;870.350/2009;4;2018-01-23;;*
970.575/2018;870.351/2009;4;2018-01-23;;*
970.575/2018;870.352/2009;4;2018-01-23;;*
970.575/2018;870.353/2009;4;2018-01-23;;*
970.575/2018;870.354/2009;4;2018-01-23;;*
970.578/2024;870.601/1980;4;2024-07-07;;*
970.578/2024;870.602/1980;4;2024-07-07;;*
970.579/2023;870.189/1988;4;2023-08-09;;*
970.579/2023;870.430/1985;4;2023-08-09;;*
970.579/2023;870.999/1983;4;2023-08-09;;*
970.579/2023;871.002/1983;4;2023-08-09;;*
970.579/2023;872.851/2005;4;2023-08-09;;*
970.801/2023;802.203/1975;4;2023-11-28;;*
970.801/2023;802.206/1975;4;2023-11-28;;*
970.801/2023;802.212/1975;4;2023-11-28;;*
970.801/2023;802.266/1978;4;2023-11-28;;*
970.801/2023;807.869/1975;4;2023-11-28;;*
970.801/2023;870.226/1982;4;2023-11-28;;*
970.801/2023;870.425/1985;4;2023-11-28;;*
