DSProcesso;DSProcessoAssociado;IDTipoAssociacao;DTAssociacao;DTDesassociacao;OBAssociacao
008.850/1941;830.371/2012;2;2012-02-13;;*
008.889/1962;920.229/1984;4;2017-01-04;;*
009.513/1942;826.220/2010;3;2010-05-17;;*
009.513/1942;826.226/2015;7;2015-05-13;;*
009.513/1942;826.410/2015;7;2015-07-13;;*
010.099/1967;815.521/2024;8;2024-12-04;;*
011.260/1942;920.078/1991;4;2017-01-02;;*
011.514/1967;896.443/2003;3;2016-09-20;;*
014.921/1936;815.139/2024;3;2024-06-13;;*
014.924/1936;815.419/2025;3;2025-09-29;;*
014.924/1936;815.465/2018;3;2018-08-22;;*
014.927/1985;014.927/1936;2;2016-09-16;;*
014.928/1936;815.389/2018;3;2018-07-03;;*
014.928/1936;815.474/2012;7;2012-09-12;;*
014.928/1936;815.948/2015;7;2015-12-08;;*
014.931/1936;815.268/2009;3;2009-05-18;;*
014.931/1936;815.269/2009;3;2009-05-18;;*
014.931/1936;815.293/2016;3;2016-04-26;;*
014.931/1936;815.832/2012;3;2012-12-11;;*
014.931/1936;815.833/2012;3;2012-12-11;;*
014.933/1936;815.168/2014;3;2014-03-25;;*
021.119/1939;834.134/2011;7;2011-10-20;;*
052.182/1937;815.111/2020;2;2020-04-29;;*
052.182/1937;815.112/2020;2;2020-04-29;;*
052.182/1937;815.115/2020;2;2020-04-30;;*
059.402/1937;059.405/1937;1;2012-06-12;;*
059.404/1937;059.405/1937;1;2012-06-11;;*
059.405/1937;059.404/1937;1;2012-06-12;;*
059.405/1937;059.404/1937;3;2012-06-12;;*
059.405/1937;059.404/1937;99;2012-06-12;;*
059.407/1937;059.405/1937;1;2012-06-12;;*
107.305/1945;801.281/1974;4;2020-07-15;;*
162.182/1937;815.113/2020;2;2020-04-29;;*
162.182/1937;815.133/2020;2;2020-05-19;;*
166.308/1937;815.504/2021;3;2021-09-29;;*
172.182/1937;815.114/2020;2;2020-04-29;;*
207.305/1945;801.281/1974;4;2020-07-15;;*
291.701/1936;930.096/2000;4;2020-08-14;;*
300.001/2007;826.137/2011;8;2011-03-29;;*
300.001/2007;826.303/1999;8;2010-10-15;;*
300.001/2008;815.228/2004;8;2010-10-18;;*
300.001/2008;815.968/2010;8;2010-11-29;;*
300.001/2010;861.267/2011;8;2011-06-17;;*
300.002/2007;815.115/2000;8;2010-10-18;;*
300.002/2007;815.962/2010;8;2010-11-29;;*
300.002/2008;826.183/2003;8;2010-10-18;;*
300.002/2008;826.684/2010;8;2010-11-11;;*
300.002/2011;810.777/2016;8;2016-07-18;;*
300.002/2019;861.354/2021;8;2021-08-31;;*
300.002/2020;832.809/2021;8;2021-12-01;;*
300.003/2011;870.576/2012;8;2012-03-05;;*
300.003/2018;861.199/2021;8;2021-08-24;;*
300.004/2018;861.201/2021;8;2021-08-24;;*
300.005/2018;872.393/2021;8;2021-12-13;;*
300.005/2019;861.366/2021;8;2021-08-31;;*
300.006/2017;872.297/2021;8;2021-11-25;;*
300.006/2018;840.360/2021;8;2021-12-13;;*
300.007/2010;840.366/2011;8;2011-05-31;;*
300.007/2010;840.367/2011;8;2011-05-31;;*
300.007/2010;840.368/2011;8;2011-05-31;;*
300.007/2010;840.369/2011;8;2011-05-31;;*
300.007/2019;861.143/2021;8;2021-08-20;;*
300.008/2010;896.382/2014;8;2014-08-06;;*
300.008/2011;830.877/2013;8;2013-03-26;;*
300.008/2013;832.197/2024;8;2024-11-13;;*
300.008/2018;832.715/2021;8;2021-11-25;;*
300.009/2010;840.375/2011;8;2011-06-03;;*
300.009/2011;811.256/2012;8;2012-09-17;;*
300.009/2019;861.360/2021;8;2021-08-31;;*
300.011/2010;832.052/2022;8;2022-09-26;;*
300.011/2017;832.778/2021;8;2021-11-30;;*
300.012/2013;831.791/2015;8;2015-07-13;;*
300.012/2017;832.781/2021;8;2021-11-30;;*
300.013/2011;826.995/2014;8;2014-12-09;;*
300.013/2017;832.780/2021;8;2021-11-30;;*
300.014/2010;864.602/2010;8;2010-11-23;;*
300.014/2011;864.232/2017;8;2017-12-04;;*
300.014/2016;872.335/2021;8;2021-11-30;;*
300.014/2016;872.336/2021;8;2021-11-30;;*
300.014/2017;832.775/2021;8;2021-11-29;;*
300.014/2018;860.753/2021;8;2021-06-18;;*
300.015/2010;864.603/2010;8;2010-11-23;;*
300.015/2021;832.814/2021;8;2021-12-01;;*
300.016/2010;873.203/2011;8;2011-08-15;;*
300.016/2016;896.195/2022;8;2022-10-10;;*
300.016/2018;860.752/2021;8;2021-06-18;;*
300.016/2019;896.244/2002;8;2021-04-14;;*
300.017/2010;832.155/2015;8;2015-08-17;;*
300.017/2011;890.228/2015;8;2015-05-08;;*
300.017/2017;832.854/2021;8;2021-12-08;;*
300.017/2020;831.947/2021;8;2021-08-24;;*
300.018/2017;800.311/2021;8;2021-06-10;;*
300.018/2018;864.508/2021;8;2021-08-31;;*
300.019/2016;872.295/2021;8;2021-11-25;;*
300.019/2020;832.722/2021;8;2021-11-25;;*
300.020/2016;872.294/2021;8;2021-11-25;;*
300.022/2016;820.828/2021;8;2021-11-30;;*
300.022/2017;832.789/2021;8;2021-11-30;;*
300.023/2013;815.608/2021;8;2021-12-01;;*
300.023/2017;832.795/2021;8;2021-11-30;;*
300.024/2012;860.140/2013;8;2013-01-18;;*
300.024/2016;820.829/2021;8;2021-11-30;;*
300.024/2017;832.791/2021;8;2021-11-30;;*
300.024/2018;861.080/2021;8;2021-08-06;;*
300.025/2013;880.193/2013;8;2013-08-14;;*
300.025/2017;832.794/2021;8;2021-11-30;;*
300.026/2017;832.787/2021;8;2021-11-30;;*
300.027/2017;832.784/2021;8;2021-11-30;;*
300.027/2018;861.081/2021;8;2021-08-06;;*
300.028/2018;861.083/2021;8;2021-08-06;;*
300.028/2022;832.562/2024;8;2024-12-05;;*
300.029/2015;815.574/2021;8;2021-11-19;;*
300.031/2012;815.592/2021;8;2021-11-26;;*
300.031/2014;832.008/2022;8;2022-09-21;;*
300.031/2015;820.832/2016;8;2016-11-23;;*
300.031/2018;861.085/2021;8;2021-08-06;;*
300.031/2019;815.543/2021;8;2021-11-03;;*
300.032/2018;861.087/2021;8;2021-08-06;;*
300.032/2019;815.472/2021;8;2021-08-25;;*
300.033/2015;815.396/2024;8;2024-11-19;;*
300.033/2017;872.398/2021;8;2021-12-13;;*
300.034/2017;846.351/2024;8;2024-11-25;;*
300.034/2020;820.857/2024;8;2024-12-11;;*
300.035/2017;861.202/2021;8;2021-08-24;;*
300.036/2009;815.809/2013;8;2013-09-03;;*
300.036/2011;810.771/2021;8;2021-08-27;;*
300.036/2012;815.564/2021;8;2021-11-16;;*
300.037/2009;815.587/2016;8;2016-08-04;;*
300.037/2017;861.173/2021;8;2021-08-23;;*
300.037/2019;815.587/2021;8;2021-11-24;;*
300.039/2010;861.320/2015;8;2015-11-11;;*
300.039/2015;826.554/2021;8;2021-08-30;;*
300.040/2015;826.500/2021;8;2021-08-18;;*
300.040/2019;815.555/2021;8;2021-11-08;;*
300.041/2020;867.219/2024;8;2024-12-11;;*
300.042/2010;826.780/2013;8;2013-09-03;;*
300.042/2017;832.645/2021;8;2021-11-16;;*
300.044/2017;815.337/2022;8;2022-09-29;;*
300.044/2021;800.603/2022;8;2022-09-29;;*
300.045/2017;815.515/2024;8;2024-12-04;;*
300.047/2010;896.188/2017;8;2017-10-23;;*
300.047/2012;815.401/2022;8;2022-10-13;;*
300.047/2013;832.667/2021;8;2021-11-22;;*
300.048/2013;832.672/2021;8;2021-11-22;;*
300.049/2012;815.460/2022;8;2022-10-18;;*
300.049/2020;832.816/2021;8;2021-12-01;;*
300.052/2009;861.464/2010;8;2010-10-26;;*
300.052/2015;832.754/2015;8;2015-10-21;;*
300.052/2017;872.251/2021;8;2021-11-17;;*
300.052/2020;872.220/2021;8;2021-11-09;;*
300.053/2012;862.171/2012;8;2012-12-21;;*
300.053/2020;820.823/2021;8;2021-11-29;;*
300.053/2021;846.428/2024;8;2024-12-09;;*
300.054/2014;815.386/2022;8;2022-10-13;;*
300.055/2016;868.250/2016;8;2016-06-17;;*
300.057/2012;832.006/2018;8;2018-10-31;;*
300.058/2011;832.685/2021;8;2021-11-23;;*
300.058/2017;864.620/2021;8;2021-11-17;;*
300.058/2018;830.861/2021;8;2021-05-27;;*
300.059/2017;864.659/2021;8;2021-12-01;;*
300.059/2018;832.627/2021;8;2021-11-11;;*
300.060/2011;860.905/2012;8;2012-05-09;;*
300.060/2011;860.906/2012;8;2012-05-09;;*
300.060/2011;860.907/2012;8;2012-05-09;;*
300.060/2013;860.826/2016;8;2016-07-29;;*
300.060/2017;864.693/2021;8;2021-12-10;;*
300.061/2012;832.653/2013;8;2013-08-30;;*
300.062/2013;860.243/2022;8;2022-03-15;;*
300.062/2017;867.513/2021;8;2021-11-18;;*
300.063/2012;832.651/2013;8;2013-08-30;;*
300.064/2013;860.909/2016;8;2016-08-18;;*
300.064/2013;860.910/2016;8;2016-08-18;;*
