DSProcesso;IDCondicaoPropriedadeSolo
650.635/1999;5
650.636/1999;5
650.637/1999;5
650.638/1999;5
650.639/1999;5
650.640/1999;5
650.641/1999;5
650.642/1999;5
650.643/1999;5
650.644/1999;5
650.645/1999;5
650.646/1999;5
650.647/1999;5
650.648/1999;5
650.649/1999;5
650.650/1999;5
650.651/1999;5
650.652/1999;5
650.653/1999;5
650.654/1999;5
650.655/1999;5
650.656/1999;5
650.657/1999;5
650.658/1999;5
650.659/1999;5
650.660/1999;5
650.661/1999;5
650.662/1999;5
650.663/1999;5
650.664/1999;5
650.665/1999;5
650.666/1999;5
650.667/1999;5
650.668/1999;5
650.669/1999;5
650.670/1999;5
650.671/1999;5
650.672/1999;5
650.673/1999;5
650.674/1999;5
650.675/1999;5
650.676/1999;5
650.677/1999;5
650.678/1999;5
650.679/1999;5
650.680/1999;5
650.681/1999;5
650.682/1999;5
650.683/1999;5
650.684/1999;5
650.685/1999;5
650.686/1999;5
650.687/1999;5
650.688/1999;5
650.689/1999;5
650.690/1999;5
650.691/1999;5
650.692/1999;5
650.693/1999;5
650.694/1999;5
650.695/1999;5
650.696/1999;5
650.697/1999;5
650.698/1999;5
650.699/1999;5
650.700/1999;5
650.701/1999;5
650.702/1999;5
650.703/1999;5
650.704/1999;5
650.705/1999;5
650.706/1999;5
650.707/1999;5
650.708/1999;5
650.709/1999;5
650.710/1999;5
650.711/1999;5
650.712/1999;5
650.713/1999;5
650.714/1999;5
650.715/1999;5
650.716/1999;5
650.717/1999;5
650.718/1999;5
650.719/1999;5
650.720/1999;5
650.721/1999;5
650.722/1999;5
650.723/1999;5
650.724/1999;5
650.725/1999;5
650.726/1999;5
650.727/1999;5
650.728/1999;5
650.729/1999;5
650.730/1999;5
650.731/1999;5
650.732/1999;5
650.733/1999;5
650.734/1999;5
650.735/1999;5
650.736/1999;5
650.737/1999;5
650.738/1999;5
650.739/1999;5
650.740/1999;5
650.741/1999;5
650.742/1999;5
650.743/1999;5
650.744/1999;5
650.745/1999;5
650.746/1999;5
650.747/1999;5
650.748/1999;5
650.749/1999;5
650.750/1999;5
650.751/1999;5
650.752/1999;5
650.753/1999;5
650.754/1999;5
650.755/1999;5
650.756/1999;5
650.757/1999;5
650.758/1999;5
650.759/1999;5
650.760/1999;5
650.761/1999;5
650.762/1999;5
650.763/1999;5
650.764/1999;5
650.765/1999;5
650.766/1999;5
650.767/1999;5
650.768/1999;5
650.769/1999;5
650.770/1999;5
650.771/1999;5
650.772/1999;5
650.773/1999;5
650.774/1999;5
650.775/1999;5
650.776/1999;5
650.777/1999;5
650.778/1999;5
650.779/1999;5
650.780/1999;5
650.781/1999;5
650.782/1999;5
650.783/1999;5
650.784/1999;5
650.785/1999;5
650.786/1999;5
650.787/1999;5
650.788/1999;5
650.789/1999;5
650.790/1999;5
650.791/1999;5
650.792/1999;5
650.793/1999;5
650.794/1999;5
650.795/1999;5
650.796/1999;5
650.797/1999;5
650.798/1999;5
650.799/1999;5
650.800/1999;5
650.801/1999;5
650.802/1999;5
650.803/1999;5
650.804/1999;5
650.805/1999;5
650.806/1999;5
650.807/1999;5
650.808/1999;5
650.809/1999;5
650.810/1999;5
650.811/1999;5
650.812/1999;5
650.813/1999;5
650.814/1999;5
650.815/1999;5
650.816/1999;5
650.817/1999;5
650.818/1999;5
650.819/1999;5
650.820/1999;5
650.821/1999;5
650.822/1999;5
650.823/1999;5
650.824/1999;5
650.825/1999;5
650.826/1999;5
650.827/1999;5
650.828/1999;5
650.829/1999;5
650.830/1999;5
650.831/1999;5
650.832/1999;5
650.833/1999;5
650.834/1999;5
650.835/1999;5
650.836/1999;5
650.837/1999;5
650.838/1999;5
650.839/1999;5
650.840/1999;5
650.841/1999;5
650.842/1999;5
650.843/1999;5
650.844/1999;5
650.845/1999;5
650.846/1999;5
650.847/1999;5
650.848/1999;5
650.849/1999;5
650.850/1999;5
650.851/1999;5
650.852/1999;5
650.853/1999;5
650.854/1999;5
650.855/1999;5
650.856/1999;5
650.857/1999;5
650.858/1999;5
650.859/1999;5
650.860/1999;5
650.861/1999;5
650.862/1999;5
650.863/1999;5
650.864/1999;5
650.865/1999;5
650.866/1999;5
650.867/1999;5
650.868/1999;5
650.869/1999;5
650.870/1999;5
650.871/1999;5
650.872/1999;5
650.873/1999;5
650.874/1999;5
650.875/1999;5
650.876/1999;5
650.877/1999;5
650.878/1999;5
650.879/1999;5
650.880/1999;5
650.881/1999;5
651.301/1997;3
651.302/1997;3
651.303/1997;3
651.304/1997;3
651.305/1997;3
651.306/1997;3
651.307/1997;3
651.308/1997;3
651.309/1997;3
651.310/1997;3
651.311/1997;3
651.312/1997;3
651.313/1997;3
651.314/1997;3
651.315/1997;3
651.316/1997;3
651.317/1997;3
651.318/1997;3
651.319/1997;3
651.320/1997;3
651.321/1997;3
651.322/1997;3
651.323/1997;3
651.324/1997;3
651.325/1997;3
651.326/1997;3
651.327/1997;3
651.328/1997;3
651.329/1997;3
651.330/1997;3
651.331/1997;3
651.332/1997;3
651.333/1997;3
651.334/1997;3
651.335/1997;3
651.336/1997;3
651.337/1997;3
651.338/1997;3
651.339/1997;3
651.340/1997;3
651.341/1997;3
651.342/1997;3
651.343/1997;3
651.344/1997;3
651.345/1997;3
651.346/1997;3
651.347/1997;3
651.348/1997;3
651.349/1997;3
651.350/1997;3
651.351/1997;3
651.352/1997;3
651.353/1997;3
651.354/1997;3
651.355/1997;3
651.356/1997;3
651.357/1997;3
651.358/1997;3
651.359/1997;3
651.360/1997;3
651.361/1997;3
651.362/1997;3
651.363/1997;3
651.364/1997;3
651.365/1997;3
651.366/1997;3
651.367/1997;3
651.368/1997;3
651.369/1997;3
651.370/1997;3
651.371/1997;3
651.372/1997;3
651.373/1997;3
651.374/1997;3
651.375/1997;3
651.376/1997;3
651.377/1997;3
651.378/1997;3
651.379/1997;3
651.380/1997;3
651.381/1997;3
651.382/1997;3
651.383/1997;3
651.384/1997;3
651.385/1997;3
651.386/1997;3
651.387/1997;3
651.388/1997;3
651.389/1997;3
651.390/1997;3
651.391/1997;3
651.392/1997;3
651.393/1997;3
651.394/1997;3
651.395/1997;3
651.396/1997;3
651.397/1997;3
651.398/1997;3
651.399/1997;3
651.400/1997;50
651.401/1997;50
651.402/1997;50
651.403/1997;50
651.404/1997;50
651.405/1997;50
651.406/1997;50
651.407/1997;50
651.408/1997;50
651.409/1997;50
651.410/1997;50
651.411/1997;50
651.412/1997;50
651.413/1997;50
651.414/1997;50
651.415/1997;50
651.416/1997;50
651.417/1997;50
651.418/1997;50
651.419/1997;50
651.420/1997;50
651.421/1997;50
651.422/1997;50
651.423/1997;50
651.424/1997;50
651.425/1997;50
651.426/1997;50
651.427/1997;50
651.428/1997;50
651.429/1997;50
651.430/1997;50
651.431/1997;50
651.432/1997;50
651.433/1997;50
651.434/1997;50
651.435/1997;50
651.436/1997;50
651.437/1997;50
651.438/1997;50
651.439/1997;50
651.440/1997;50
651.441/1997;50
651.442/1997;50
651.443/1997;50
651.444/1997;50
651.445/1997;50
651.446/1997;50
651.447/1997;50
651.448/1997;50
651.449/1997;50
651.450/1997;50
651.451/1997;50
651.452/1997;50
651.453/1997;50
651.454/1997;50
651.455/1997;50
651.456/1997;50
651.457/1997;50
651.458/1997;50
651.459/1997;50
651.460/1997;50
651.461/1997;50
651.462/1997;50
651.463/1997;50
651.464/1997;50
651.465/1997;50
651.466/1997;50
651.467/1997;50
651.468/1997;50
651.469/1997;50
651.470/1997;50
651.471/1997;50
651.472/1997;50
651.473/1997;50
651.474/1997;50
651.475/1997;50
651.476/1997;50
651.477/1997;50
651.478/1997;50
651.479/1997;50
651.480/1997;50
651.481/1997;50
651.482/1997;50
651.483/1997;50
651.484/1997;50
651.485/1997;50
651.486/1997;50
651.487/1997;50
651.488/1997;50
651.489/1997;50
651.490/1997;50
651.491/1997;50
651.492/1997;50
651.493/1997;50
651.494/1997;50
651.495/1997;50
651.496/1997;50
651.497/1997;50
651.498/1997;50
651.499/1997;50
651.800/1997;3
653.900/1997;3
653.901/1997;3
653.902/1997;3
653.903/1997;3
653.904/1997;3
653.905/1997;3
653.906/1997;3
653.907/1997;3
653.908/1997;3
653.909/1997;3
653.910/1997;3
653.911/1997;3
653.912/1997;3
653.913/1997;3
653.914/1997;3
653.915/1997;3
653.916/1997;3
653.917/1997;3
653.918/1997;3
653.919/1997;3
653.920/1997;3
653.921/1997;3
653.922/1997;3
653.923/1997;3
653.924/1997;3
653.925/1997;3
653.926/1997;3
653.927/1997;3
653.928/1997;3
653.929/1997;3
653.930/1997;3
653.931/1997;3
653.932/1997;3
653.933/1997;3
653.934/1997;3
653.935/1997;3
653.936/1997;3
653.937/1997;3
653.938/1997;3
653.939/1997;3
653.941/1997;3
653.942/1997;3
653.943/1997;3
653.944/1997;3
653.945/1997;3
653.946/1997;3
653.947/1997;3
653.948/1997;3
653.949/1997;3
653.950/1997;3
653.951/1997;3
653.952/1997;3
653.953/1997;3
653.954/1997;3
653.955/1997;3
653.956/1997;3
653.957/1997;3
653.958/1997;3
653.959/1997;3
653.960/1997;3
654.000/1997;3
654.001/1997;3
654.002/1997;3
654.003/1997;3
654.004/1997;3
654.005/1997;3
654.006/1997;3
654.007/1997;3
654.008/1997;3
654.009/1997;3
654.010/1997;3
654.011/1997;3
654.012/1997;3
654.013/1997;3
654.014/1997;3
654.015/1997;3
654.016/1997;3
654.017/1997;3
654.018/1997;3
654.019/1997;3
654.020/1997;3
654.021/1997;3
654.022/1997;3
654.023/1997;3
654.024/1997;3
654.025/1997;3
654.026/1997;3
654.027/1997;3
654.028/1997;3
654.029/1997;3
654.030/1997;3
654.031/1997;3
654.032/1997;3
654.033/1997;3
654.034/1997;3
654.035/1997;3
654.036/1997;3
654.037/1997;3
654.038/1997;3
654.039/1997;3
654.040/1997;3
654.041/1997;3
654.044/1997;3
654.047/1997;3
654.048/1997;3
654.049/1997;3
654.050/1997;3
654.051/1997;3
654.052/1997;3
654.053/1997;3
654.054/1997;3
654.055/1997;3
654.056/1997;3
654.057/1997;3
654.058/1997;3
654.059/1997;3
654.060/1997;3
654.061/1997;3
654.062/1997;3
654.063/1997;3
654.064/1997;3
654.065/1997;3
654.066/1997;3
654.067/1997;3
654.068/1997;3
654.069/1997;3
654.070/1997;3
654.071/1997;3
654.072/1997;3
654.073/1997;3
654.074/1997;3
654.075/1997;3
654.076/1997;3
654.077/1997;3
654.078/1997;3
654.079/1997;3
654.080/1997;3
654.081/1997;3
654.082/1997;3
654.083/1997;3
654.084/1997;3
654.086/1997;3
654.087/1997;3
654.088/1997;3
654.089/1997;3
654.090/1997;3
654.091/1997;3
654.092/1997;3
654.093/1997;3
654.094/1997;3
654.095/1997;3
654.096/1997;3
654.097/1997;3
654.098/1997;3
654.099/1997;3
654.100/1997;3
654.101/1997;3
654.102/1997;3
654.103/1997;3
654.104/1997;3
654.105/1997;3
654.106/1997;3
654.107/1997;3
654.108/1997;3
654.109/1997;3
654.110/1997;3
654.111/1997;3
654.112/1997;3
654.113/1997;3
654.114/1997;3
654.115/1997;3
654.116/1997;3
654.117/1997;3
654.118/1997;3
654.119/1997;3
654.120/1997;3
654.121/1997;3
654.122/1997;3
654.123/1997;3
654.124/1997;3
654.125/1997;3
654.126/1997;3
654.127/1997;3
654.128/1997;3
654.129/1997;3
654.130/1997;3
654.131/1997;3
654.132/1997;3
654.133/1997;3
654.134/1997;3
654.135/1997;3
654.136/1997;3
654.137/1997;3
654.138/1997;3
654.139/1997;3
654.140/1997;3
654.141/1997;3
654.142/1997;3
654.143/1997;3
654.144/1997;3
654.145/1997;3
654.146/1997;3
654.147/1997;3
654.148/1997;3
654.149/1997;3
654.150/1997;3
654.151/1997;3
654.152/1997;3
654.153/1997;3
654.154/1997;3
654.155/1997;3
654.156/1997;3
654.157/1997;3
654.158/1997;3
654.159/1997;3
654.160/1997;3
654.161/1997;3
654.162/1997;3
654.163/1997;3
654.164/1997;3
654.165/1997;3
654.166/1997;3
654.167/1997;3
654.168/1997;3
654.169/1997;3
654.170/1997;3
654.171/1997;3
654.172/1997;3
654.173/1997;3
654.174/1997;3
654.175/1997;3
654.176/1997;3
654.322/1997;3
654.323/1997;3
654.325/1997;3
654.326/1997;3
654.327/1997;3
654.328/1997;3
751.299/1997;50
751.525/1996;3
756.401/1957;3
758.506/1997;50
800.000/2001;3
800.000/2002;3
800.000/2003;5
800.000/2004;3
800.000/2005;3
800.000/2006;3
800.001/2000;5
800.001/2001;3
800.001/2002;3
800.001/2003;3
800.001/2004;3
800.001/2005;3
800.001/2006;3
800.001/2007;3
800.001/2008;3
800.001/2009;5
800.001/2010;3
800.001/2011;3
800.001/2012;3
800.001/2013;3
800.001/2014;3
800.001/2015;6
800.001/2016;3
800.001/2017;3
800.001/2018;3
800.001/2019;3
800.001/2021;3
800.001/2022;3
800.001/2023;3
800.001/2024;3
800.001/2025;3
800.001/2026;50
800.002/2001;3
800.002/2002;3
800.002/2004;3
800.002/2005;3
800.002/2006;3
800.002/2007;3
800.002/2008;3
800.002/2009;5
800.002/2010;3
800.002/2011;3
800.002/2012;3
800.002/2013;3
800.002/2014;3
800.002/2015;3
800.002/2016;3
800.002/2017;5
800.002/2018;3
800.002/2019;3
800.002/2020;3
800.002/2021;5
800.002/2022;3
800.002/2023;3
800.002/2024;3
800.002/2025;3
800.002/2026;3
800.003/2001;3
800.003/2002;3
800.003/2003;3
800.003/2004;3
800.003/2005;3
800.003/2006;3
800.003/2007;3
800.003/2008;5
800.003/2009;1
800.003/2010;3
800.003/2011;3
800.003/2012;3
800.003/2013;3
